,area_sqcm,area_sqkm,climate_group,elev_drop,elevation,flow_accum,gradient,group,interception_factor,length,next_stream,out_dist,parameter_group,prev_str01,prev_str02,shreve,strahler,upstream_area
115,44865110000.0,4.486511,115.0,1283.6852999999999,510,154720.907096,0.0048259999999999996,"(1, 115.0)",0.4,266006.42360000004,127,12282775.3402,1,55,106,9,2,1083918570000.0
116,35472629999.99999,3.5472629999999996,116.0,606.5002,503,110017.093203,0.003636,"(2, 116.0)",0.1,166786.09819999998,120,12063426.966300001,2,111,16,13,3,1329098530000.0
117,47624330000.00001,4.762433000000001,117.0,7555.368,408,82395.456264,0.027683,"(2, 117.0)",0.1,272927.3236,198,6886839.080999999,2,88,28,7,3,530870170000.0
118,33821290000.0,3.382129,118.0,2459.8114,572,4743.945055,0.031603,"(2, 118.0)",0.1,77835.53929999999,161,10476336.762,2,0,0,1,1,33821290000.0
119,30588270000.0,3.058827,119.0,4784.6558,562,4839.097823,0.049030000000000004,"(2, 119.0)",0.1,97585.33039999999,185,10390575.4917,2,0,0,1,1,30588270000.0
120,30741560000.000004,3.0741560000000003,120.0,906.9397,424,210627.475183,0.0031829999999999996,"(2, 120.0)",0.1,284916.17350000003,133,11896640.8681,2,116,87,14,3,1414829290000.0
122,13531300000.0,1.35313,122.0,1590.976,485,17773.142252,0.012502,"(1, 122.0)",0.4,127259.7759,158,11911824.1548,1,99,77,2,2,123948670000.0
123,4097020000.0000005,0.40970200000000007,123.0,311.0992,506,63100.419119000006,0.004034,"(2, 123.0)",0.1,77111.9559,126,10603678.2805,2,3,98,3,2,411687410000.0
125,32086330000.000004,3.2086330000000003,125.0,4076.8982,461,2099.766838,0.029776999999999998,"(1, 125.0)",0.4,136915.8492,183,11657290.0601,1,0,0,1,1,32086330000.000004
126,36253019999.99999,3.6253019999999996,126.0,3692.9291,490,74769.04413200001,0.016538,"(2, 126.0)",0.1,223299.77760000003,180,10526566.324600002,2,53,123,4,2,496059470000.0
127,28149570000.0,2.814957,127.0,1028.0792,445,171152.61572200002,0.004443,"(1, 127.0)",0.4,231418.9663,157,12016768.916600002,1,115,82,10,2,1141938730000.0
128,51554120000.0,5.155412,128.0,12736.496000000001,450,7319.121395,0.068444,"(1, 128.0)",0.4,186085.57829999996,235,7559558.092999999,1,0,0,1,1,51554120000.0
129,10061380000.0,1.006138,129.0,1462.1429,487,14144.041286000001,0.011775,"(2, 129.0)",0.1,124170.5258,161,10522671.7485,2,59,51,2,2,112883940000.0
132,28177439999.999996,2.817744,132.0,8757.9681,609,2446.651378,0.154433,"(1, 132.0)",0.4,56710.420999999995,211,10685733.7413,1,0,0,1,1,28177439999.999996
133,38120370000.0,3.812037,133.0,162.1094,500,221167.53438899998,0.0008640000000000001,"(2, 133.0)",0.1,187717.28949999998,152,11611724.6947,2,120,89,16,3,1550539470000.0
152,80414390000.0,8.041439,152.0,5605.5511,410,205064.786785,0.011519,"(1, 152.0)",0.4,486645.2131,196,11424007.405199999,1,133,100,17,3,1690144600000.0
157,13357110000.0,1.335711,157.0,706.6955999999999,492,197056.401695,0.0049700000000000005,"(1, 157.0)",0.4,142196.5424,162,11785349.9503,1,64,127,11,2,1256216220000.0
158,31048139999.999996,3.1048139999999997,158.0,2591.9373,408,36774.508005,0.009811,"(1, 158.0)",0.4,264190.168,183,11784564.3789,1,83,122,3,2,228568910000.0
161,8556350000.0,0.855635,161.0,2378.0089999999996,458,22843.217451,0.022538,"(2, 161.0)",0.1,105511.06140000002,185,10398501.2227,2,118,129,3,2,155261580000.0
162,32762189999.999996,3.2762189999999998,162.0,1427.24,434,209468.469908,0.004547,"(1, 162.0)",0.4,313885.8006,170,11643153.407899998,1,157,33,13,3,1457283560000.0
163,69684110000.0,6.968411,163.0,22118.832400000003,651,13263.462733,0.132624,"(2, 163.0)",0.1,166778.5922,337,1392931.4628,2,0,0,1,1,69684110000.0
164,41806290000.0,4.180629,164.0,7708.056600000001,568,6020.402345,0.077257,"(1, 164.0)",0.4,99772.0822,218,10621740.4197,1,0,0,1,1,41806290000.0
166,36552630000.0,3.6552629999999997,166.0,2568.5699,421,3579.5805119999995,0.016076,"(1, 166.0)",0.4,159775.5319,191,11207484.797,1,0,0,1,1,36552630000.0
169,31647360000.0,3.164736,169.0,9715.686,474,19864.14688,0.043864999999999994,"(1, 169.0)",0.4,221490.0897,235,7594962.6043,1,78,36,2,2,137793530000.0
170,51059410000.00001,5.1059410000000005,170.0,2967.1112000000003,464,374202.836279,0.007571,"(1, 170.0)",0.4,391905.4152,196,11329267.6073,1,162,103,14,3,1537245050000.0
171,45722140000.0,4.572214,171.0,1954.6082000000001,449,5372.1229490000005,0.01123,"(1, 171.0)",0.4,174055.8632,191,11221765.1284,1,0,0,1,1,45722140000.0
178,117705600000.00002,11.770560000000001,178.0,26092.240899999997,454,80192.16668099999,0.050602,"(2, 178.0)",0.1,515635.01259999996,412,5013704.3262,2,0,0,1,1,117705600000.00002
179,45499180000.0,4.549918,179.0,11546.4874,751,5946.322273,0.115722,"(2, 179.0)",0.1,99777.7117,247,2658873.6074,2,0,0,1,1,45499180000.0
180,20317860000.0,2.031786,180.0,2.298,506,88168.150579,1.7e-05,"(2, 180.0)",0.1,133180.01570000002,181,10303266.547,2,49,126,5,2,618196540000.0
181,8995320000.0,0.899532,181.0,2330.0079,425,112514.07546099999,0.025491999999999997,"(2, 181.0)",0.1,91402.1389,193,10170086.531399999,2,180,97,6,2,653571630000.0
182,54090370000.00001,5.4090370000000005,182.0,17338.7924,477,5036.378291,0.067301,"(1, 182.0)",0.4,257631.32,309,8456365.2565,1,0,0,1,1,54090370000.00001
183,5992229999.999999,0.599223,183.0,1165.9850999999999,417,37912.589002,0.009342,"(1, 183.0)",0.4,124814.29449999999,189,11520374.210899998,1,125,158,4,2,266647470000.0
184,25836290000.0,2.583629,184.0,7686.3861,620,2987.031876,0.164926,"(1, 184.0)",0.4,46604.975099999996,226,10313399.202200001,1,0,0,1,1,25836290000.0
185,41221000000.0,4.1221,185.0,2074.7711,432,42159.99837,0.009681,"(2, 185.0)",0.1,214305.76890000002,193,10292990.1613,2,161,119,4,2,227070850000.0
188,60521570000.0,6.052157,188.0,24677.2964,439,3068.097341,0.084109,"(1, 188.0)",0.4,293396.4759,400,5629083.7425999995,1,0,0,1,1,60521570000.0
189,15022389999.999998,1.5022389999999999,189.0,1034.5276000000001,454,52468.518314,0.004903,"(1, 189.0)",0.4,211011.3328,194,11395559.9164,1,113,183,5,2,376179940000.0
190,39541780000.0,3.9541779999999997,190.0,15300.3571,469,15272.790765,0.135972,"(2, 190.0)",0.1,112525.84980000001,293,2578863.9827,2,0,0,1,1,39541780000.0
191,6020110000.0,0.602011,191.0,1899.4354,423,9783.818401999999,0.02014,"(1, 191.0)",0.4,94310.5976,202,11047709.265199998,1,171,166,2,2,88294880000.0
192,49679800000.00001,4.967980000000001,192.0,3900.2441,391,4090.558632,0.017866,"(1, 192.0)",0.4,218306.8998,212,10381407.728500001,1,0,0,1,1,49679800000.00001
193,102327860000.00002,10.232786,193.0,11105.1117,323,81643.71074299999,0.025478999999999998,"(2, 193.0)",0.1,435852.68610000005,264,10078684.3925,2,185,181,10,3,982970340000.0
194,28560659999.999996,2.8560659999999998,194.0,1046.6461000000002,452,66088.97055299999,0.004528,"(1, 194.0)",0.4,231149.91600000003,202,11184548.583499998,1,79,189,6,2,471951170000.0
196,42670280000.0,4.267028,196.0,2929.0221999999994,507,434402.77998999995,0.009498999999999999,"(1, 196.0)",0.4,308338.8718,211,10937362.1921,1,170,152,31,4,3270059930000.0
197,104473910000.0,10.447391,197.0,11345.2744,486,13055.532317000001,0.035312,"(1, 197.0)",0.4,321283.2825,270,9710949.6535,1,0,0,1,1,104473910000.0
198,87312429999.99998,8.731243,198.0,5884.0088000000005,449,98959.583394,0.014024000000000002,"(1, 198.0)",0.4,419568.74,234,6613911.7574000005,1,37,117,8,3,679296420000.0
199,27829050000.0,2.782905,199.0,3811.6913000000004,471,43952.787522000006,0.042907,"(1, 199.0)",0.4,88835.5084,219,10588229.633,1,0,0,1,1,27829050000.0
201,42767830000.0,4.276783,201.0,4969.8364,473,14644.585643999999,0.02532,"(1, 201.0)",0.4,196280.22149999999,227,10273901.9657,1,0,0,1,1,42767830000.0
202,106606030000.0,10.660603,202.0,3310.7391,407,82739.18855199999,0.007292,"(1, 202.0)",0.4,454004.543,219,10953398.6676,1,191,194,8,3,666852080000.0
203,120506619999.99998,12.050661999999999,203.0,19928.1586,341,8886.370247,0.05375800000000001,"(2, 203.0)",0.1,370698.6057,355,5300440.559599999,2,0,0,1,1,120506619999.99998
205,30358330000.000004,3.0358330000000002,205.0,5053.9246,427,2864.243981,0.083351,"(1, 205.0)",0.4,60634.551999999996,234,6254977.5694,1,0,0,1,1,30358330000.000004
207,112096590000.0,11.209659,207.0,8484.2987,410,17763.173215,0.012013,"(1, 207.0)",0.4,706272.0712,263,8105009.8622,1,0,0,1,1,112096590000.0
208,31271100000.0,3.12711,208.0,707.2845,391,4281.043027000001,0.017385,"(1, 208.0)",0.4,40684.7354,212,10203785.564100001,1,0,0,1,1,31271100000.0
209,44976600000.0,4.49766,209.0,7483.1024,556,4136.456919,0.151377,"(2, 209.0)",0.1,49433.6191,261,5941614.3884000005,2,0,0,1,1,44976600000.0
210,62611880000.0,6.261188,210.0,13628.7857,333,8696.968454,0.044461,"(1, 210.0)",0.4,306532.937,324,8166801.837799999,1,0,0,1,1,62611880000.0
211,5379079999.999999,0.5379079999999999,211.0,1205.484,405,471138.49099799996,0.01126,"(1, 211.0)",0.4,107054.98270000001,218,10629023.3202,1,132,196,32,4,3303616450000.0
212,4556890000.0,0.455689,212.0,2036.6057999999998,325,35547.93787,0.019676,"(1, 212.0)",0.4,103504.63179999999,228,10163100.8287,1,192,208,2,2,85507790000.0
214,34608640000.0,3.460864,214.0,11830.226100000002,314,59402.59946799999,0.041854,"(2, 214.0)",0.1,282652.4217,317,5779905.2049,2,75,112,3,2,340832720000.0
215,92740280000.0,9.274028,215.0,17361.460900000002,399,5449.683158,0.029707,"(1, 215.0)",0.4,584422.5939,375,6553349.9833,1,0,0,1,1,92740280000.0
216,100223610000.0,10.022361,216.0,7021.5942,379,27008.296331,0.01515,"(1, 216.0)",0.4,463464.34369999997,263,7862202.1347,1,0,0,1,1,100223610000.0
217,75118930000.0,7.511893,217.0,14110.876499999998,582,10407.886314,0.101113,"(2, 217.0)",0.1,139556.1958,337,1365709.0664,2,0,0,1,1,75118930000.0
